year,month,month_name,store_key,store_name,city,district,net_revenue,gross_margin,labor_cost,labor_pct_of_revenue,contribution,num_transactions
2025,4,April    ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,426165.97,125497.06,87131.65,20.45,38365.41,9945
2024,5,May      ,10,SuperChampion Grand Canyon,Haifa,Haifa,1008947.59,298165.75,20865.20,2.07,277300.55,22848
2024,3,March    ,19,SuperChampion Ashdod,Ashdod,Southern,980019.23,288540.78,74315.66,7.58,214225.12,22241
2025,8,August   ,5,SuperChampion Holon,Holon,Tel Aviv,394140.76,115683.78,76118.38,19.31,39565.40,9092
2025,7,July     ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,431961.02,127836.78,95152.92,22.03,32683.86,10214
2025,7,July     ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,415897.54,121786.34,106541.88,25.62,15244.46,9458
2024,5,May      ,14,SuperChampion Kfar Saba,Kfar Saba,Central,427631.93,125215.67,87205.79,20.39,38009.88,9969
2025,5,May      ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,368147.95,109458.01,93178.46,25.31,16279.55,8638
2025,10,October  ,7,SuperChampion Malha,Jerusalem,Jerusalem,948118.87,280790.19,89042.15,9.39,191748.04,21039
2024,12,December ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,431062.73,127872.66,68522.90,15.90,59349.76,9898
2025,1,January  ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,188885.69,56232.21,82596.55,43.73,-26364.34,4485
2025,12,December ,21,SuperChampion Eilat,Eilat,Southern,420416.07,124651.53,80737.37,19.20,43914.16,9957
2024,7,July     ,22,SuperChampion Nazareth,Nazareth,Northern,445045.98,129539.08,80912.02,18.18,48627.06,10286
2024,10,October  ,18,SuperChampion Rehovot,Rehovot,Central,381222.60,112244.97,54846.43,14.39,57398.54,8639
2025,10,October  ,11,SuperChampion Hadar,Haifa,Haifa,412374.83,121696.30,64958.69,15.75,56737.61,9875
2024,1,January  ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,411756.68,122655.80,48368.66,11.75,74287.14,9225
2024,9,September,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,191148.48,55770.83,81757.18,42.77,-25986.35,4730
2024,5,May      ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,946455.58,277799.06,60324.15,6.37,217474.91,21229
2024,2,February ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,892944.24,263624.15,63927.06,7.16,199697.09,20662
2025,12,December ,23,SuperChampion Tiberias,Tiberias,Northern,427201.27,126250.78,93269.70,21.83,32981.08,10235
2024,6,June     ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,916514.05,267515.65,42626.72,4.65,224888.93,20389
2024,11,November ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,383936.65,113277.65,58561.44,15.25,54716.21,8677
2024,10,October  ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,384826.16,111824.08,58569.42,15.22,53254.66,8730
2025,6,June     ,21,SuperChampion Eilat,Eilat,Southern,439458.07,131861.01,82365.12,18.74,49495.89,10312
2025,11,November ,14,SuperChampion Kfar Saba,Kfar Saba,Central,377404.78,110500.56,100477.08,26.62,10023.48,8705
2024,6,June     ,24,SuperChampion Afula,Afula,Northern,388874.23,114216.70,56871.37,14.62,57345.33,9254
2025,12,December ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,392208.10,114259.74,70473.30,17.97,43786.44,9120
2025,7,July     ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,408415.19,121624.10,118333.92,28.97,3290.18,9079
2024,6,June     ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,384607.07,112577.68,50765.55,13.20,61812.13,9113
2024,4,April    ,14,SuperChampion Kfar Saba,Kfar Saba,Central,376265.78,110847.21,85773.11,22.80,25074.10,8724
2025,2,February ,19,SuperChampion Ashdod,Ashdod,Southern,934760.52,276841.13,82802.90,8.86,194038.23,20588
2024,2,February ,24,SuperChampion Afula,Afula,Northern,390261.18,115151.50,55126.49,14.13,60025.01,9398
2024,4,April    ,15,SuperChampion Raanana,Raanana,Central,391962.44,114745.18,56570.27,14.43,58174.91,9025
2024,8,August   ,15,SuperChampion Raanana,Raanana,Central,406632.25,120157.41,64319.20,15.82,55838.21,9172
2024,9,September,21,SuperChampion Eilat,Eilat,Southern,417908.87,122811.32,64406.59,15.41,58404.73,9547
2025,11,November ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,188986.20,55904.43,97299.70,51.49,-41395.27,4485
2025,9,September,15,SuperChampion Raanana,Raanana,Central,401675.90,118700.37,81687.16,20.34,37013.21,9091
2024,5,May      ,19,SuperChampion Ashdod,Ashdod,Southern,920527.44,273059.55,74760.92,8.12,198298.63,21147
2024,1,January  ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,404340.14,120775.43,84053.90,20.79,36721.53,9799
2025,7,July     ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,382724.41,112823.23,74868.59,19.56,37954.64,8974
2024,11,November ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,904604.54,264537.84,57432.43,6.35,207105.41,20876
2024,2,February ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,384556.97,113486.67,88778.26,23.09,24708.41,8845
2024,4,April    ,5,SuperChampion Holon,Holon,Tel Aviv,382907.16,112819.29,61932.68,16.17,50886.61,9011
2025,11,November ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,370992.28,110610.36,69773.77,18.81,40836.59,8539
2024,2,February ,7,SuperChampion Malha,Jerusalem,Jerusalem,897585.61,262677.06,57438.07,6.40,205238.99,20117
2025,11,November ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,382658.22,112491.00,71571.17,18.70,40919.83,9086
2024,12,December ,24,SuperChampion Afula,Afula,Northern,390236.73,115587.60,75926.87,19.46,39660.73,9399
2024,2,February ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,374617.82,109961.42,45256.70,12.08,64704.72,8904
2025,2,February ,18,SuperChampion Rehovot,Rehovot,Central,346606.32,101190.23,52839.31,15.24,48350.92,7926
2024,8,August   ,10,SuperChampion Grand Canyon,Haifa,Haifa,941717.87,279179.56,19951.79,2.12,259227.77,22221
2025,4,April    ,19,SuperChampion Ashdod,Ashdod,Southern,949721.74,282292.06,89294.90,9.40,192997.16,22587
2025,9,September,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,408205.16,120095.99,87798.44,21.51,32297.55,9338
2025,6,June     ,5,SuperChampion Holon,Holon,Tel Aviv,399305.85,118777.41,80394.94,20.13,38382.47,9220
2025,12,December ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,388744.39,114951.38,100191.18,25.77,14760.20,8998
2025,6,June     ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,881696.54,263902.88,91493.08,10.38,172409.80,19698
2024,9,September,16,SuperChampion Petah Tikva,Petah Tikva,Central,887011.85,259265.52,94128.23,10.61,165137.29,20166
2024,2,February ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,825670.34,243861.67,55794.29,6.76,188067.38,18585
2024,5,May      ,23,SuperChampion Tiberias,Tiberias,Northern,433949.68,127035.54,87161.74,20.09,39873.80,10170
2025,6,June     ,18,SuperChampion Rehovot,Rehovot,Central,408194.90,120339.07,66920.67,16.39,53418.40,9122
2024,7,July     ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,908818.55,269486.89,68115.20,7.49,201371.69,20264
2025,6,June     ,7,SuperChampion Malha,Jerusalem,Jerusalem,924746.33,273910.62,103692.51,11.21,170218.11,20207
2024,9,September,5,SuperChampion Holon,Holon,Tel Aviv,411657.96,121822.04,75143.70,18.25,46678.34,9301
2024,5,May      ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,439492.13,127612.36,98628.52,22.44,28983.84,9827
2024,9,September,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,402279.40,118559.70,87525.94,21.76,31033.76,9493
2024,10,October  ,19,SuperChampion Ashdod,Ashdod,Southern,910414.94,267130.13,85731.23,9.42,181398.90,20662
2024,12,December ,11,SuperChampion Hadar,Haifa,Haifa,421995.08,125030.94,61372.99,14.54,63657.95,9671
2025,12,December ,15,SuperChampion Raanana,Raanana,Central,383785.90,113792.49,81750.63,21.30,32041.86,8790
2024,6,June     ,10,SuperChampion Grand Canyon,Haifa,Haifa,983545.78,293751.91,19712.41,2.00,274039.50,21948
2024,3,March    ,18,SuperChampion Rehovot,Rehovot,Central,404834.21,120376.61,50407.84,12.45,69968.77,9136
2024,4,April    ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,934425.15,275901.96,57284.96,6.13,218617.00,21197
2025,3,March    ,16,SuperChampion Petah Tikva,Petah Tikva,Central,877954.99,255286.04,95526.17,10.88,159759.87,19692
2025,9,September,14,SuperChampion Kfar Saba,Kfar Saba,Central,382259.25,111133.26,98992.26,25.90,12141.00,9022
2025,10,October  ,18,SuperChampion Rehovot,Rehovot,Central,434054.61,127784.43,57447.81,13.24,70336.62,10120
2025,1,January  ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,1028652.98,303879.63,80177.61,7.79,223702.02,22189
2025,2,February ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,366582.64,109119.48,64340.16,17.55,44779.32,8352
2025,11,November ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,960244.68,282260.61,97416.71,10.14,184843.90,21558
2025,2,February ,22,SuperChampion Nazareth,Nazareth,Northern,377186.30,110620.14,81833.72,21.70,28786.42,8957
2025,3,March    ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,383968.01,113855.53,110563.00,28.79,3292.53,8504
2024,12,December ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,403560.22,119096.08,121066.33,30.00,-1970.25,9330
2025,3,March    ,14,SuperChampion Kfar Saba,Kfar Saba,Central,364422.79,106573.76,99878.40,27.41,6695.36,8863
2025,12,December ,19,SuperChampion Ashdod,Ashdod,Southern,946823.07,278913.22,90442.18,9.55,188471.04,21142
2025,5,May      ,16,SuperChampion Petah Tikva,Petah Tikva,Central,953044.70,282472.02,89292.95,9.37,193179.07,20550
2024,8,August   ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,424510.50,125448.91,54007.46,12.72,71441.45,9599
2024,3,March    ,5,SuperChampion Holon,Holon,Tel Aviv,393161.01,115403.53,61732.33,15.70,53671.20,9455
2025,5,May      ,19,SuperChampion Ashdod,Ashdod,Southern,815068.88,242723.60,85497.76,10.49,157225.84,19843
2025,8,August   ,7,SuperChampion Malha,Jerusalem,Jerusalem,994247.54,298257.16,97803.43,9.84,200453.73,22099
2025,12,December ,18,SuperChampion Rehovot,Rehovot,Central,418146.39,122279.96,66574.65,15.92,55705.31,9691
2025,4,April    ,7,SuperChampion Malha,Jerusalem,Jerusalem,929569.63,276877.46,97245.13,10.46,179632.33,20725
2025,10,October  ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,391622.45,115581.48,60396.44,15.42,55185.04,9262
2025,2,February ,11,SuperChampion Hadar,Haifa,Haifa,399307.51,117958.92,63182.05,15.82,54776.87,9411
2024,5,May      ,24,SuperChampion Afula,Afula,Northern,402422.83,118364.80,58840.76,14.62,59524.04,9142
2025,4,April    ,11,SuperChampion Hadar,Haifa,Haifa,402357.76,117703.80,73161.20,18.18,44542.60,9204
2024,10,October  ,5,SuperChampion Holon,Holon,Tel Aviv,385407.33,114594.16,68134.92,17.68,46459.24,8745
2024,8,August   ,16,SuperChampion Petah Tikva,Petah Tikva,Central,886278.02,260751.69,81463.53,9.19,179288.16,20994
2025,5,May      ,15,SuperChampion Raanana,Raanana,Central,379379.13,111508.71,77169.25,20.34,34339.46,9113
2024,9,September,12,SuperChampion Krayot,Kiryat Bialik,Haifa,385167.46,112183.37,114510.76,29.73,-2327.39,9248
2024,5,May      ,16,SuperChampion Petah Tikva,Petah Tikva,Central,980448.45,289423.59,76962.79,7.85,212460.80,23110
2025,2,February ,5,SuperChampion Holon,Holon,Tel Aviv,365204.73,107758.11,66320.07,18.16,41438.04,8596
2025,8,August   ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,887670.61,263488.78,87443.56,9.85,176045.22,20455
2025,11,November ,10,SuperChampion Grand Canyon,Haifa,Haifa,905432.21,267156.43,66413.09,7.33,200743.34,20776
2025,10,October  ,19,SuperChampion Ashdod,Ashdod,Southern,1012309.51,300028.38,78694.56,7.77,221333.82,23070
2025,2,February ,14,SuperChampion Kfar Saba,Kfar Saba,Central,361350.06,106000.83,90350.47,25.00,15650.36,8210
2024,3,March    ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,454648.98,134653.69,48097.01,10.58,86556.68,10214
2024,10,October  ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,896883.01,266744.89,57862.77,6.45,208882.12,21173
2025,5,May      ,22,SuperChampion Nazareth,Nazareth,Northern,377625.55,112368.68,91478.91,24.22,20889.77,8709
2024,12,December ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,398473.91,115935.72,76279.37,19.14,39656.35,9558
2025,6,June     ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,381169.02,112695.50,112557.99,29.53,137.51,8855
2024,4,April    ,23,SuperChampion Tiberias,Tiberias,Northern,397499.32,116460.02,76101.21,19.14,40358.81,9677
2025,12,December ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,912493.12,272895.07,91022.50,9.98,181872.57,20758
2025,1,January  ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,942705.06,279290.90,83389.50,8.85,195901.40,21113
2024,3,March    ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,193005.94,56781.70,60387.39,31.29,-3605.69,4809
2024,12,December ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,931478.40,275726.63,86145.27,9.25,189581.36,21933
2025,5,May      ,18,SuperChampion Rehovot,Rehovot,Central,372671.40,110660.85,55001.66,14.76,55659.19,8426
2024,10,October  ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,187744.85,54751.03,75269.42,40.09,-20518.39,4394
2025,9,September,16,SuperChampion Petah Tikva,Petah Tikva,Central,882088.71,261992.36,95100.71,10.78,166891.65,20436
2025,2,February ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,344964.03,102285.55,56837.44,16.48,45448.11,7911
2024,6,June     ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,395359.96,116788.85,54829.46,13.87,61959.39,9299
2025,4,April    ,5,SuperChampion Holon,Holon,Tel Aviv,444370.78,130178.46,78090.34,17.57,52088.12,10128
2024,7,July     ,14,SuperChampion Kfar Saba,Kfar Saba,Central,415481.94,123026.69,89306.13,21.49,33720.56,9610
2025,3,March    ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,370989.66,108940.32,70727.64,19.06,38212.68,8759
2025,10,October  ,16,SuperChampion Petah Tikva,Petah Tikva,Central,940804.56,271665.88,82805.79,8.80,188860.09,21466
2024,9,September,11,SuperChampion Hadar,Haifa,Haifa,435814.47,128751.30,54123.47,12.42,74627.83,9803
2025,7,July     ,23,SuperChampion Tiberias,Tiberias,Northern,426785.79,125562.42,101267.52,23.73,24294.90,9897
2025,5,May      ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,376568.86,109910.29,104778.69,27.82,5131.60,8469
2025,11,November ,23,SuperChampion Tiberias,Tiberias,Northern,439232.78,129658.30,95684.70,21.78,33973.60,9913
2025,8,August   ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,191986.27,56391.12,91941.36,47.89,-35550.24,4618
2024,11,November ,22,SuperChampion Nazareth,Nazareth,Northern,389491.40,115895.13,85195.41,21.87,30699.72,8695
2024,5,May      ,7,SuperChampion Malha,Jerusalem,Jerusalem,912676.45,268007.43,76414.10,8.37,191593.33,20889
2024,10,October  ,15,SuperChampion Raanana,Raanana,Central,393612.58,116419.01,77161.00,19.60,39258.01,9257
2024,6,June     ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,387278.09,114216.26,94338.63,24.36,19877.63,8960
2025,9,September,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,179141.06,52781.56,95968.32,53.57,-43186.76,4432
2025,3,March    ,19,SuperChampion Ashdod,Ashdod,Southern,932886.19,280430.26,90341.61,9.68,190088.65,20509
2025,7,July     ,14,SuperChampion Kfar Saba,Kfar Saba,Central,402115.15,119132.27,106940.82,26.59,12191.45,9711
2025,10,October  ,13,SuperChampion Ir Yamim,Netanya,Central,439433.56,129827.70,103014.09,23.44,26813.61,9914
2025,7,July     ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,962994.08,281342.05,93458.96,9.71,187883.09,20992
2025,3,March    ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,389010.26,113911.64,62674.36,16.11,51237.28,8718
2025,12,December ,13,SuperChampion Ir Yamim,Netanya,Central,416222.51,123445.44,118412.00,28.45,5033.44,9884
2024,2,February ,22,SuperChampion Nazareth,Nazareth,Northern,408575.48,119471.03,47928.61,11.73,71542.42,9112
2025,6,June     ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,418053.40,123183.80,89133.27,21.32,34050.53,9941
2025,10,October  ,21,SuperChampion Eilat,Eilat,Southern,453607.54,132358.36,69689.09,15.36,62669.27,10415
2024,3,March    ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,421065.39,124490.16,52460.41,12.46,72029.75,9306
2025,4,April    ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,930779.39,275015.26,81666.17,8.77,193349.09,20963
2024,11,November ,14,SuperChampion Kfar Saba,Kfar Saba,Central,395200.55,115218.03,93594.90,23.68,21623.13,8768
2024,6,June     ,23,SuperChampion Tiberias,Tiberias,Northern,438556.29,131183.43,87051.87,19.85,44131.56,10238
2025,11,November ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,385020.37,115038.55,100652.80,26.14,14385.75,9089
2025,12,December ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,198897.00,58878.68,96345.97,48.44,-37467.29,4936
2024,7,July     ,16,SuperChampion Petah Tikva,Petah Tikva,Central,950323.25,285557.97,88490.49,9.31,197067.48,20941
2024,4,April    ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,379573.80,112991.86,68645.67,18.08,44346.19,8578
2024,3,March    ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,442616.07,131536.10,69542.65,15.71,61993.45,10100
2025,6,June     ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,410820.06,121535.26,70359.19,17.13,51176.07,9889
2024,1,January  ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,991344.91,290432.49,62294.41,6.28,228138.08,21872
2025,6,June     ,13,SuperChampion Ir Yamim,Netanya,Central,411381.68,121123.67,119623.41,29.08,1500.26,9761
2025,10,October  ,24,SuperChampion Afula,Afula,Northern,389654.39,113538.43,76412.97,19.61,37125.46,9078
2025,7,July     ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,384823.50,113932.25,75758.68,19.69,38173.57,8594
2024,11,November ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,945975.45,279342.52,71068.68,7.51,208273.84,20853
2024,8,August   ,24,SuperChampion Afula,Afula,Northern,415956.35,122294.04,55283.17,13.29,67010.87,9278
2025,11,November ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,363876.71,107676.19,70803.37,19.46,36872.82,8663
2024,11,November ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,439023.91,130564.47,83067.97,18.92,47496.50,10003
2025,6,June     ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,942230.93,279517.53,97310.70,10.33,182206.83,20957
2024,3,March    ,7,SuperChampion Malha,Jerusalem,Jerusalem,1026751.31,305247.86,59721.72,5.82,245526.14,22871
2024,2,February ,15,SuperChampion Raanana,Raanana,Central,373443.96,111855.10,53979.83,14.45,57875.27,8653
2024,7,July     ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,937066.53,275929.66,58186.77,6.21,217742.89,21529
2024,4,April    ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,184197.06,55021.41,60549.60,32.87,-5528.19,4648
2024,5,May      ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,445487.02,134591.30,56054.82,12.58,78536.48,10549
2025,11,November ,18,SuperChampion Rehovot,Rehovot,Central,378877.86,112283.76,67158.13,17.73,45125.63,9120
2024,11,November ,23,SuperChampion Tiberias,Tiberias,Northern,407287.31,118319.20,83525.56,20.51,34793.64,9745
2025,1,January  ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,419862.50,125301.35,74008.31,17.63,51293.04,9303
2024,10,October  ,16,SuperChampion Petah Tikva,Petah Tikva,Central,913688.89,268823.57,89258.43,9.77,179565.14,21141
2024,9,September,19,SuperChampion Ashdod,Ashdod,Southern,929121.33,276188.91,93355.44,10.05,182833.47,21190
2025,3,March    ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,191579.91,56349.04,83170.11,43.41,-26821.07,4658
2025,1,January  ,11,SuperChampion Hadar,Haifa,Haifa,435432.84,129731.62,68233.41,15.67,61498.21,10489
2025,9,September,19,SuperChampion Ashdod,Ashdod,Southern,897197.90,258200.59,90539.66,10.09,167660.93,20247
2024,4,April    ,19,SuperChampion Ashdod,Ashdod,Southern,849792.00,252927.49,74205.39,8.73,178722.10,19904
2024,12,December ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,407361.80,121468.13,95884.96,23.54,25583.17,9140
2024,7,July     ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,407456.64,119543.81,55067.80,13.52,64476.01,9329
2024,2,February ,21,SuperChampion Eilat,Eilat,Southern,405943.91,119933.63,47268.09,11.64,72665.54,9864
2024,11,November ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,189580.99,54932.92,74467.39,39.28,-19534.47,4510
2025,6,June     ,22,SuperChampion Nazareth,Nazareth,Northern,398750.98,118817.53,97950.30,24.56,20867.23,9434
2024,8,August   ,7,SuperChampion Malha,Jerusalem,Jerusalem,917983.77,268175.19,77966.91,8.49,190208.28,21278
2025,9,September,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,368368.19,108219.01,99548.18,27.02,8670.83,8819
2025,2,February ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,421227.48,123097.70,81310.28,19.30,41787.42,9598
2025,9,September,7,SuperChampion Malha,Jerusalem,Jerusalem,881021.02,261895.08,101877.02,11.56,160018.06,19112
2024,3,March    ,11,SuperChampion Hadar,Haifa,Haifa,464722.57,136490.57,45497.99,9.79,90992.58,10578
2025,7,July     ,5,SuperChampion Holon,Holon,Tel Aviv,417072.30,122127.44,85486.45,20.50,36640.99,9696
2024,5,May      ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,416935.23,124333.83,70332.04,16.87,54001.79,8986
2025,2,February ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,366481.01,108803.22,63282.07,17.27,45521.15,8073
2024,5,May      ,22,SuperChampion Nazareth,Nazareth,Northern,412968.99,122288.51,72183.94,17.48,50104.57,9216
2025,9,September,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,379212.10,110907.69,69329.36,18.28,41578.33,8905
2025,5,May      ,10,SuperChampion Grand Canyon,Haifa,Haifa,972057.35,285509.11,51341.18,5.28,234167.93,22215
2025,2,February ,23,SuperChampion Tiberias,Tiberias,Northern,379070.57,111787.06,85910.32,22.66,25876.74,8915
2024,11,November ,13,SuperChampion Ir Yamim,Netanya,Central,397747.36,117727.10,110216.77,27.71,7510.33,8898
2024,9,September,24,SuperChampion Afula,Afula,Northern,421860.73,122880.31,59177.85,14.03,63702.46,9892
2025,8,August   ,19,SuperChampion Ashdod,Ashdod,Southern,939299.04,276305.89,86828.75,9.24,189477.14,21579
2025,1,January  ,16,SuperChampion Petah Tikva,Petah Tikva,Central,1015223.45,299407.12,100751.06,9.92,198656.06,23189
2024,4,April    ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,389058.03,115359.22,53426.44,13.73,61932.78,9011
2024,4,April    ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,873262.91,253835.55,37710.94,4.32,216124.61,20420
2025,1,January  ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,408846.16,121017.77,73755.49,18.04,47262.28,9376
2025,3,March    ,21,SuperChampion Eilat,Eilat,Southern,426626.24,126288.28,81244.66,19.04,45043.62,9750
2025,3,March    ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,894803.60,268057.12,79538.21,8.89,188518.91,20422
2025,5,May      ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,865160.20,256929.73,84589.98,9.78,172339.75,19881
2024,6,June     ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,192217.16,57137.34,65734.13,34.20,-8596.79,4583
2024,2,February ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,861599.00,256119.68,36548.40,4.24,219571.28,19067
2025,8,August   ,13,SuperChampion Ir Yamim,Netanya,Central,394670.31,117529.34,112961.96,28.62,4567.38,9065
2025,6,June     ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,900810.66,269279.57,88928.40,9.87,180351.17,20673
2024,5,May      ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,944311.38,278446.45,68030.70,7.20,210415.75,21801
2024,9,September,20,SuperChampion Beer Sheva,Beer Sheva,Southern,885768.77,264012.03,68488.61,7.73,195523.42,20288
2024,11,November ,11,SuperChampion Hadar,Haifa,Haifa,419733.33,123393.25,49060.22,11.69,74333.03,9775
2025,10,October  ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,181003.77,53167.54,83175.87,45.95,-30008.33,4585
2025,10,October  ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,416613.00,122320.46,61309.83,14.72,61010.63,10049
2025,3,March    ,11,SuperChampion Hadar,Haifa,Haifa,404246.78,121849.03,73435.15,18.17,48413.88,9141
2024,7,July     ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,414617.40,121562.24,80888.62,19.51,40673.62,9981
2025,6,June     ,19,SuperChampion Ashdod,Ashdod,Southern,904150.14,268114.62,92449.05,10.22,175665.57,20132
2025,8,August   ,18,SuperChampion Rehovot,Rehovot,Central,404344.99,119304.66,63108.73,15.61,56195.93,9446
2025,9,September,8,SuperChampion Talpiot,Jerusalem,Jerusalem,402003.35,118097.34,68972.73,17.16,49124.61,9304
2024,7,July     ,10,SuperChampion Grand Canyon,Haifa,Haifa,985180.63,293560.75,21256.10,2.16,272304.65,22696
2025,2,February ,21,SuperChampion Eilat,Eilat,Southern,354805.03,106483.46,71883.86,20.26,34599.60,8306
2025,9,September,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,919688.77,270768.03,95847.05,10.42,174920.98,20582
2025,1,January  ,5,SuperChampion Holon,Holon,Tel Aviv,444246.67,130637.66,76880.63,17.31,53757.03,10317
2025,7,July     ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,967551.16,286695.58,103050.05,10.65,183645.53,21982
2025,4,April    ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,973157.44,284070.31,86895.21,8.93,197175.10,21933
2024,12,December ,18,SuperChampion Rehovot,Rehovot,Central,414084.58,122531.24,63367.52,15.30,59163.72,9626
2025,12,December ,5,SuperChampion Holon,Holon,Tel Aviv,417969.89,124171.18,79179.06,18.94,44992.12,9382
2024,1,January  ,24,SuperChampion Afula,Afula,Northern,382325.21,113499.74,58011.83,15.17,55487.91,8750
2024,1,January  ,11,SuperChampion Hadar,Haifa,Haifa,423021.61,125992.87,49088.12,11.60,76904.75,9983
